 State-gov; Bachelors; Never-married; Adm-clerical; Not-in-family; White; Male; United-States; <=50K
 Self-emp-not-inc; Bachelors; Married-civ-spouse; Exec-managerial; Husband; White; Male; United-States; <=50K
 Private; HS-grad; Divorced; Handlers-cleaners; Not-in-family; White; Male; United-States; <=50K
 Private; 11th; Married-civ-spouse; Handlers-cleaners; Husband; Black; Male; United-States; <=50K
 Private; Bachelors; Married-civ-spouse; Prof-specialty; Wife; Black; Female; Cuba; <=50K
 Private; Masters; Married-civ-spouse; Exec-managerial; Wife; White; Female; United-States; <=50K
 Private; 9th; Married-spouse-absent; Other-service; Not-in-family; Black; Female; Jamaica; <=50K
 Self-emp-not-inc; HS-grad; Married-civ-spouse; Exec-managerial; Husband; White; Male; United-States; >50K
 Private; Masters; Never-married; Prof-specialty; Not-in-family; White; Female; United-States; >50K
 Private; Bachelors; Married-civ-spouse; Exec-managerial; Husband; White; Male; United-States; >50K
 Private; Some-college; Married-civ-spouse; Exec-managerial; Husband; Black; Male; United-States; >50K
 State-gov; Bachelors; Married-civ-spouse; Prof-specialty; Husband; Asian-Pac-Islander; Male; India; >50K
 Private; Bachelors; Never-married; Adm-clerical; Own-child; White; Female; United-States; <=50K
 Private; Assoc-acdm; Never-married; Sales; Not-in-family; Black; Male; United-States; <=50K
 Private; 7th-8th; Married-civ-spouse; Transport-moving; Husband; Amer-Indian-Eskimo; Male; Mexico; <=50K
 Self-emp-not-inc; HS-grad; Never-married; Farming-fishing; Own-child; White; Male; United-States; <=50K
 Private; HS-grad; Never-married; Machine-op-inspct; Unmarried; White; Male; United-States; <=50K
 Private; 11th; Married-civ-spouse; Sales; Husband; White; Male; United-States; <=50K
 Self-emp-not-inc; Masters; Divorced; Exec-managerial; Unmarried; White; Female; United-States; >50K
 Private; Doctorate; Married-civ-spouse; Prof-specialty; Husband; White; Male; United-States; >50K
 Private; HS-grad; Separated; Other-service; Unmarried; Black; Female; United-States; <=50K
 Federal-gov; 9th; Married-civ-spouse; Farming-fishing; Husband; Black; Male; United-States; <=50K
 Private; 11th; Married-civ-spouse; Transport-moving; Husband; White; Male; United-States; <=50K
 Private; HS-grad; Divorced; Tech-support; Unmarried; White; Female; United-States; <=50K
 Local-gov; Bachelors; Married-civ-spouse; Tech-support; Husband; White; Male; United-States; >50K
 Private; HS-grad; Never-married; Craft-repair; Own-child; White; Male; United-States; <=50K
 Private; HS-grad; Divorced; Exec-managerial; Not-in-family; White; Male; United-States; <=50K
 Private; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male; United-States; <=50K
 Local-gov; Assoc-acdm; Never-married; Protective-serv; Not-in-family; White; Male; United-States; <=50K
 Private; Some-college; Never-married; Sales; Own-child; Black; Male; United-States; <=50K
 Private; Bachelors; Divorced; Exec-managerial; Own-child; White; Male; United-States; <=50K
 Federal-gov; Some-college; Married-civ-spouse; Adm-clerical; Own-child; White; Male; United-States; <=50K
 State-gov; Some-college; Married-civ-spouse; Other-service; Husband; Black; Male; United-States; <=50K
 Private; 11th; Never-married; Machine-op-inspct; Unmarried; White; Male; Puerto-Rico; <=50K
 Private; Some-college; Never-married; Machine-op-inspct; Own-child; White; Male; United-States; <=50K
